Edad;Id_animal;Tipo;Raza;color;Fecha_de_nac;Fecha_y_Hora;Mes_y_ano;Nombre;Tipo_resultado;Adquisicion;Esterilizado
2 months;A664658;Cat;Domestic Shorthair Mix;Brown Tabby/White;2013-08-16T00:00:00;2013-11-02T18:16:00;2013-11-02T18:16:00;*Trey;;Adoption;Neutered Male
4 years;A679881;Dog;Australian Shepherd Mix;Black/Brown;2010-05-27T00:00:00;2014-06-21T18:09:00;2014-06-21T18:09:00;*Thurgood;;Adoption;Neutered Male
1 year;A687362;Dog;Miniature Poodle Mix;White/Tan;2013-09-03T00:00:00;2014-09-04T15:58:00;2014-09-04T15:58:00;Hailey;;Return to Owner;Intact Female
2 years;A687894;Dog;Australian Kelpie/Blue Lacy;Blue;2012-09-11T00:00:00;2014-12-04T17:24:00;2014-12-04T17:24:00;Lina;Partner;Transfer;Spayed Female
1 weeks;A678103;Cat;Domestic Shorthair Mix;Buff;2014-04-25T00:00:00;2014-05-04T17:28:00;2014-05-04T17:28:00;;Partner;Transfer;Intact Male
4 years;A678110;Other;Rabbit Sh Mix;Black;2010-05-04T00:00:00;2014-06-01T12:16:00;2014-06-01T12:16:00;*Mr.Black;Partner;Transfer;Intact Male
3 years;A678697;Dog;Yorkshire Terrier Mix;Tan/Silver;2011-05-12T00:00:00;2014-05-17T18:54:00;2014-05-17T18:54:00;;Partner;Transfer;Spayed Female
1 year;A669591;Cat;Domestic Shorthair Mix;Black/White;2012-12-23T00:00:00;2013-12-28T16:21:00;2013-12-28T16:21:00;;SCRP;Transfer;Intact Male
3 years;A670044;Cat;Domestic Shorthair Mix;Blue;2011-01-01T00:00:00;2014-01-01T13:13:00;2014-01-01T13:13:00;;Suffering;Euthanasia;Intact Male
4 years;A684556;Dog;Black Mouth Cur/German Shepherd;Brown/Black;2010-07-25T00:00:00;2014-08-02T11:59:00;2014-08-02T11:59:00;;Partner;Transfer;Intact Male
2 years;A669460;Dog;Pomeranian/Border Terrier;Buff;2011-12-21T00:00:00;2013-12-24T15:46:00;2013-12-24T15:46:00;Pancho;;Adoption;Neutered Male
3 months;A683766;Cat;Domestic Shorthair Mix;Brown Tabby;2014-04-15T00:00:00;2014-08-07T18:44:00;2014-08-07T18:44:00;Scout;;Adoption;Spayed Female
4 weeks;A666071;Cat;Domestic Shorthair Mix;Brown Tabby;2013-09-26T00:00:00;2013-10-30T15:14:00;2013-10-30T15:14:00;*June;Partner;Transfer;Intact Female
8 months;A671437;Cat;Domestic Shorthair Mix;Brown Tabby;2013-05-24T00:00:00;2014-01-27T16:26:00;2014-01-27T16:26:00;;SCRP;Transfer;Unknown
5 months;A673875;Other;Bat Mix;Brown;2013-09-03T00:00:00;2014-03-04T09:07:00;2014-03-04T09:07:00;;Rabies Risk;Euthanasia;Unknown
8 months;A688447;Dog;Pit Bull Mix;White/Tan;2014-01-19T00:00:00;2014-09-28T18:50:00;2014-09-28T18:50:00;;Partner;Transfer;Intact Male
3 weeks;A686173;Dog;Australian Kelpie Mix;Black/White;2014-07-24T00:00:00;2014-08-20T14:06:00;2014-08-20T14:06:00;;Partner;Transfer;Intact Female
3 months;A664071;Cat;Domestic Shorthair Mix;White/Black;2013-07-06T00:00:00;2013-10-09T13:16:00;2013-10-09T13:16:00;;Partner;Transfer;Neutered Male
2 days;A693168;Dog;Labrador Retriever Mix;Black/White;2014-12-01T00:00:00;2014-12-03T14:00:00;2014-12-03T14:00:00;;Partner;Transfer;Intact Female
5 years;A681011;Dog;Boston Terrier Mix;Brown Brindle/White;2009-06-11T00:00:00;2014-06-19T15:01:00;2014-06-19T15:01:00;Ada;Partner;Transfer;Spayed Female
2 months;A682681;Cat;Domestic Shorthair Mix;Black/White;2014-04-24T00:00:00;2014-07-08T14:49:00;2014-07-08T14:49:00;;Partner;Transfer;Neutered Male
2 months;A681587;Dog;Australian Shepherd/Plott Hound;Brown Brindle/White;2014-04-18T00:00:00;2014-06-22T17:31:00;2014-06-22T17:31:00;;;Adoption;Spayed Female
2 months;A669831;Dog;German Shepherd Mix;Cream;2013-10-21T00:00:00;2013-12-28T14:07:00;2013-12-28T14:07:00;;Partner;Transfer;Intact Male
4 months;A671560;Dog;Pointer Mix;White/Brown;2013-09-27T00:00:00;2014-02-10T17:14:00;2014-02-10T17:14:00;Gus;Partner;Transfer;Neutered Male
10 months;A681616;Dog;Chihuahua Shorthair Mix;White/Brown Brindle;2013-08-18T00:00:00;2014-06-23T17:08:00;2014-06-23T17:08:00;;;Adoption;Spayed Female
3 years;A691445;Cat;Domestic Shorthair Mix;Black;2011-11-04T00:00:00;2014-11-19T15:07:00;2014-11-19T15:07:00;Ash;Partner;Transfer;Neutered Male
4 months;A676129;Dog;Miniature Poodle Mix;White;2013-12-06T00:00:00;2014-04-07T18:43:00;2014-04-07T18:43:00;Ruby;;Return to Owner;Spayed Female
3 years;A665565;Dog;Chihuahua Shorthair Mix;Red/White;2010-10-19T00:00:00;2013-11-21T13:48:00;2013-11-21T13:48:00;Pickles;Partner;Transfer;Spayed Female
3 months;A689447;Cat;Domestic Shorthair Mix;Black/White;2014-09-07T00:00:00;2014-12-14T10:53:00;2014-12-14T10:53:00;*Izzy;In Foster;Died;Intact Female
1 year;A686724;Cat;Domestic Shorthair Mix;Blue Tabby;2013-08-25T00:00:00;2014-09-02T16:42:00;2014-09-02T16:42:00;*Pudding;;Adoption;Spayed Female
1 year;A670922;Dog;Pit Bull Mix;Red/White;2013-01-22T00:00:00;2014-12-20T19:02:00;2014-12-20T19:02:00;Rosco;;Adoption;Neutered Male
2 months;A669363;Cat;Domestic Longhair Mix;White/Black;2013-10-12T00:00:00;2014-01-04T14:04:00;2014-01-04T14:04:00;Stephanie;;Adoption;Spayed Female
1 month;A682868;Cat;Domestic Shorthair Mix;Orange Tabby/White;2014-05-28T00:00:00;2014-07-08T11:49:00;2014-07-08T11:49:00;;Partner;Transfer;Intact Male
4 months;A680091;Cat;Domestic Shorthair Mix;Tortie;2014-01-29T00:00:00;2014-06-14T13:53:00;2014-06-14T13:53:00;*Chloe;;Adoption;Spayed Female
1 year;A688032;Dog;Border Collie Mix;White/Brown;2013-09-13T00:00:00;2014-09-28T16:25:00;2014-09-28T16:25:00;Denali;;Adoption;Neutered Male
