Edad;Id_animal;Tipo;Raza;color;Fecha_de_nac;Fecha_y_Hora;Mes_y_ano;Nombre;Tipo_resultado;Adquisicion;Esterilizado
4 days;A684311;Dog;Chihuahua Shorthair Mix;Black;2014-07-18T00:00:00;2014-07-22T10:51:00;2014-07-22T10:51:00;;Partner;Transfer;Intact Female
11 months;A679233;Dog;Miniature Poodle/Lhasa Apso;Black/White;2013-06-04T00:00:00;2014-05-22T17:37:00;2014-05-22T17:37:00;Chispita;;Return to Owner;Spayed Female
1 year;A676541;Cat;Domestic Shorthair Mix;Calico;2013-04-11T00:00:00;2014-05-10T12:44:00;2014-05-10T12:44:00;Tabs;;Adoption;Spayed Female
3 years;A680647;Dog;Miniature Schnauzer Mix;Black/White;2011-06-05T00:00:00;2014-06-09T17:13:00;2014-06-09T17:13:00;Mr. Magoo;;Adoption;Neutered Male
5 months;A676292;Dog;Miniature Pinscher/Chihuahua Shorthair;Black/Tan;2013-10-24T00:00:00;2014-04-08T15:29:00;2014-04-08T15:29:00;Blacky;Partner;Transfer;Intact Male
2 years;A682876;Dog;Chihuahua Shorthair/Italian Greyhound;Brown/White;2012-07-04T00:00:00;2014-07-15T17:10:00;2014-07-15T17:10:00;*Versace;;Adoption;Spayed Female
4 years;A640416;Dog;Pit Bull Mix;White/Brown Brindle;2009-10-24T00:00:00;2014-09-06T18:57:00;2014-09-06T18:57:00;*Dawn;Partner;Transfer;Spayed Female
2 years;A684283;Dog;Border Collie Mix;Black/White;2012-07-21T00:00:00;2014-07-31T18:59:00;2014-07-31T18:59:00;Rocky;;Return to Owner;Neutered Male
2 years;A675129;Dog;Boxer Mix;White/Tricolor;2012-03-23T00:00:00;2014-03-27T17:09:00;2014-03-27T17:09:00;;Partner;Transfer;Spayed Female
1 year;A667578;Dog;Miniature Poodle Mix;White;2012-11-20T00:00:00;2013-11-23T17:33:00;2013-11-23T17:33:00;Chikis;;Return to Owner;Spayed Female
3 years;A666568;Dog;Pit Bull Mix;Black/White;2010-11-06T00:00:00;2013-11-07T16:52:00;2013-11-07T16:52:00;Willie;;Return to Owner;Spayed Female
1 month;A678653;Cat;Domestic Medium Hair Mix;Torbie;2014-03-27T00:00:00;2014-05-26T17:09:00;2014-05-26T17:09:00;Kaleysee;;Adoption;Spayed Female
4 years;A686756;Other;American Sable;Sable;2010-08-26T00:00:00;2014-08-31T12:01:00;2014-08-31T12:01:00;Mr Bunny;Partner;Transfer;Intact Male
1 year;A667400;Dog;Chihuahua Shorthair Mix;White/Black;2012-11-17T00:00:00;2013-12-07T12:51:00;2013-12-07T12:51:00;Norbert;;Adoption;Neutered Male
3 years;A680183;Dog;Chihuahua Longhair Mix;Black/White;2011-06-01T00:00:00;2014-06-28T17:58:00;2014-06-28T17:58:00;Coyote;;Adoption;Neutered Male
1 year;A680670;Dog;Black/Tan Hound Mix;Black/Tan;2013-06-05T00:00:00;2014-06-08T12:53:00;2014-06-08T12:53:00;;;Adoption;Neutered Male
3 years;A678951;Cat;Domestic Shorthair Mix;Brown Tabby;2011-05-14T00:00:00;2014-05-26T12:55:00;2014-05-26T12:55:00;Tiger;;Adoption;Neutered Male
2 months;A668012;Cat;Domestic Shorthair Mix;Brown Tabby;2013-10-19T00:00:00;2013-12-23T15:27:00;2013-12-23T15:27:00;*Baxter;Foster;Adoption;Neutered Male
8 months;A686020;Dog;German Shepherd Mix;Black/Brown;2013-11-16T00:00:00;2014-08-16T12:01:00;2014-08-16T12:01:00;Sadie;;Return to Owner;Intact Female
4 years;A590767;Dog;Chihuahua Shorthair;Tan/White;2009-06-24T00:00:00;2014-04-02T16:48:00;2014-04-02T16:48:00;Hercules;;Return to Owner;Neutered Male
3 weeks;A678837;Cat;Domestic Shorthair Mix;Torbie/White;2014-04-21T00:00:00;2014-05-13T13:22:00;2014-05-13T13:22:00;;Partner;Transfer;Intact Female
2 years;A669284;Dog;Pit Bull Mix;Blue/White;2011-12-17T00:00:00;2013-12-19T13:37:00;2013-12-19T13:37:00;Dream;;Return to Owner;Intact Female
5 years;A673609;Dog;Labrador Retriever Mix;Black/White;2009-02-27T00:00:00;2014-03-12T15:23:00;2014-03-12T15:23:00;*Andy;Partner;Transfer;Intact Male
1 year;A690090;Cat;Domestic Shorthair Mix;Black/White;2013-10-14T00:00:00;2014-10-20T13:50:00;2014-10-20T13:50:00;;Partner;Transfer;Intact Male
2 years;A684268;Dog;Great Dane/Mastiff;Black/White;2011-12-31T00:00:00;2014-07-30T12:42:00;2014-07-30T12:42:00;Groot;;Return to Owner;Intact Male
4 years;A677443;Cat;Domestic Longhair Mix;Blue/White;2010-04-25T00:00:00;2014-05-10T16:10:00;2014-05-10T16:10:00;;;Adoption;Neutered Male
4 years;A684041;Dog;Labrador Retriever Mix;Black;2010-07-18T00:00:00;2014-08-26T19:20:00;2014-08-26T19:20:00;*Bree;;Adoption;Spayed Female
2 years;A668365;Dog;Rottweiler/Labrador Retriever;Black/Brown;2011-12-02T00:00:00;2014-01-14T18:40:00;2014-01-14T18:40:00;*Mason;;Adoption;Neutered Male
6 years;A579684;Dog;Labrador Retriever/Border Collie;Black;2008-07-17T00:00:00;2014-08-02T16:56:00;2014-08-02T16:56:00;Lilly;;Return to Owner;Spayed Female
3 years;A686697;Dog;Chihuahua Shorthair Mix;Tan/White;2011-08-25T00:00:00;2014-09-10T15:00:00;2014-09-10T15:00:00;Sandy Boy;;Adoption;Neutered Male
3 months;A680977;Dog;Jack Russell Terrier Mix;White/Tan;2014-02-10T00:00:00;2014-06-10T19:01:00;2014-06-10T19:01:00;;Suffering;Euthanasia;Intact Female
4 years;A587990;Dog;Dachshund Mix;Black/White;2009-05-09T00:00:00;2013-10-20T13:19:00;2013-10-20T13:19:00;Cevrus;;Return to Owner;Neutered Male
3 years;A682192;Dog;German Shepherd Mix;Black/White;2011-06-25T00:00:00;2014-07-01T15:34:00;2014-07-01T15:34:00;;Partner;Transfer;Spayed Female
1 year;A627272;Cat;Domestic Shorthair Mix;Orange Tabby/White;2012-04-15T00:00:00;2014-03-01T18:04:00;2014-03-01T18:04:00;Odessa;;Adoption;Spayed Female
8 months;A663827;Dog;Labrador Retriever Mix;Brown;2013-01-29T00:00:00;2013-10-01T17:02:00;2013-10-01T17:02:00;;;Adoption;Neutered Male
6 years;A665813;Dog;Miniature Poodle Mix;Apricot;2007-10-23T00:00:00;2013-11-07T17:39:00;2013-11-07T17:39:00;*Carl;;Adoption;Neutered Male
13 years;A667327;Dog;Maltese Mix;White;2000-11-16T00:00:00;2013-11-16T13:31:00;2013-11-16T13:31:00;Lucy;;Return to Owner;Spayed Female
2 years;A672073;Dog;Dachshund Wirehair Mix;Black/Silver;2012-02-03T00:00:00;2014-02-13T16:48:00;2014-02-13T16:48:00;*Duke;Partner;Transfer;Neutered Male
4 years;A589009;Cat;Domestic Shorthair Mix;Black;2010-07-18T00:00:00;2014-12-15T19:17:00;2014-12-15T19:17:00;Rogue Momo;;Return to Owner;Neutered Male
11 years;A693245;Cat;Domestic Medium Hair Mix;Orange Tabby/White;2003-12-04T00:00:00;2014-12-04T18:34:00;2014-12-04T18:34:00;Billy;;Return to Owner;Neutered Male
2 months;A679579;Cat;Domestic Shorthair Mix;Brown Tabby/White;2014-04-16T00:00:00;2014-07-12T17:09:00;2014-07-12T17:09:00;*Suzie;Foster;Adoption;Spayed Female
4 months;A674688;Cat;Domestic Shorthair Mix;Black;2013-11-16T00:00:00;2014-03-25T19:23:00;2014-03-25T19:23:00;Poppy;;Adoption;Intact Female
1 year;A675669;Dog;Queensland Heeler Mix;Blue Merle/Tan;2013-03-31T00:00:00;2014-04-06T12:37:00;2014-04-06T12:37:00;;;Adoption;Spayed Female
10 years;A665668;Cat;Domestic Shorthair Mix;White/Black;2003-10-21T00:00:00;2014-03-19T08:37:00;2014-03-19T08:37:00;Dylan;Foster;Adoption;Neutered Male
3 years;A688850;Dog;Dachshund/Beagle;White/Tricolor;2011-09-25T00:00:00;2014-09-27T14:10:00;2014-09-27T14:10:00;Darcey;;Adoption;Spayed Female
3 years;A684576;Dog;Chinese Crested Mix;White;2011-07-26T00:00:00;2014-07-28T11:33:00;2014-07-28T11:33:00;Pearl;;Return to Owner;Spayed Female
4 months;A685553;Dog;Pointer Mix;Black/White;2014-04-09T00:00:00;2014-08-10T17:14:00;2014-08-10T17:14:00;Bertha;;Return to Owner;Spayed Female
3 years;A681870;Dog;Staffordshire Mix;Buff/White;2011-06-21T00:00:00;2014-06-22T14:18:00;2014-06-22T14:18:00;Shug;;Return to Owner;Intact Female
7 years;A693864;Dog;Yorkshire Terrier Mix;White/Gray;2007-12-15T00:00:00;2014-12-19T18:07:00;2014-12-19T18:07:00;;;Adoption;Neutered Male
3 months;A667007;Cat;Domestic Shorthair Mix;Black;2013-09-11T00:00:00;2013-12-18T16:16:00;2013-12-18T16:16:00;*Azure;Partner;Transfer;Spayed Female
2 months;A669181;Dog;Labrador Retriever Mix;Black/White;2013-10-16T00:00:00;2013-12-18T18:21:00;2013-12-18T18:21:00;;;Adoption;Neutered Male
9 months;A664666;Dog;Australian Cattle Dog Mix;Red Merle;2013-02-07T00:00:00;2013-11-11T16:51:00;2013-11-11T16:51:00;Red;;Return to Owner;Spayed Female
3 years;A691897;Other;Bat Mix;Brown;2011-11-11T00:00:00;2014-11-11T17:58:00;2014-11-11T17:58:00;;Rabies Risk;Euthanasia;Unknown
5 months;A675115;Cat;Domestic Shorthair Mix;Torbie;2013-09-23T00:00:00;2014-03-24T17:25:00;2014-03-24T17:25:00;;;Adoption;Spayed Female
1 year;A677948;Other;Raccoon Mix;Gray/Black;2013-05-01T00:00:00;2014-05-01T16:40:00;2014-05-01T16:40:00;;Rabies Risk;Euthanasia;Unknown
10 months;A652261;Dog;Siberian Husky;Cream/White;2013-01-22T00:00:00;2013-11-24T15:15:00;2013-11-24T15:15:00;Puffy;;Return to Owner;Spayed Female
2 months;A664442;Cat;Domestic Shorthair Mix;Black;2013-08-12T00:00:00;2013-10-20T16:58:00;2013-10-20T16:58:00;*Candy Corn;;Adoption;Neutered Male
3 years;A691861;Dog;Manchester Terrier Mix;Black/Brown;2011-11-11T00:00:00;2014-11-11T10:26:00;2014-11-11T10:26:00;;Suffering;Euthanasia;Intact Female
3 years;A689499;Cat;Domestic Longhair Mix;White;2011-10-04T00:00:00;2014-10-09T16:33:00;2014-10-09T16:33:00;Kitty;;Adoption;Spayed Female
5 weeks;A666677;Cat;Domestic Shorthair Mix;Orange Tabby/White;2013-10-05T00:00:00;2013-11-09T08:53:00;2013-11-09T08:53:00;*Max;In Kennel;Died;Intact Male
2 months;A674737;Cat;Domestic Shorthair Mix;Black;2014-03-15T00:00:00;2014-05-27T08:21:00;2014-05-27T08:21:00;*Byron;Foster;Adoption;Intact Male
4 years;A693037;Dog;Boxer Mix;Brown Brindle;2010-12-01T00:00:00;2014-12-11T18:25:00;2014-12-11T18:25:00;Max;;Return to Owner;Intact Male
9 months;A674564;Cat;Domestic Shorthair Mix;Torbie;2013-06-15T00:00:00;2014-03-17T11:31:00;2014-03-17T11:31:00;Sirus;Partner;Transfer;Spayed Female
1 year;A670692;Dog;Chihuahua Shorthair/Australian Cattle Dog;White/Brown;2012-07-12T00:00:00;2014-01-21T12:45:00;2014-01-21T12:45:00;*Paully;Partner;Transfer;Neutered Male
1 year;A672468;Dog;Labrador Retriever/Flat Coat Retriever;Black/Brown;2013-02-10T00:00:00;2014-06-17T18:57:00;2014-06-17T18:57:00;Reed;;Adoption;Neutered Male
1 week;A676440;Cat;Domestic Shorthair Mix;Brown Tabby;2014-04-03T00:00:00;2014-04-10T11:39:00;2014-04-10T11:39:00;;Partner;Transfer;Intact Female
2 months;A662822;Cat;Domestic Shorthair Mix;Tortie;2013-08-16T00:00:00;2013-11-06T08:31:00;2013-11-06T08:31:00;*Kera;Partner;Transfer;Spayed Female
1 year;A668535;Dog;Miniature Pinscher Mix;Black/Tan;2012-12-04T00:00:00;2013-12-08T18:29:00;2013-12-08T18:29:00;Beau;;Adoption;Neutered Male
4 weeks;A677216;Cat;Domestic Shorthair Mix;Black;2014-03-21T00:00:00;2014-04-21T18:03:00;2014-04-21T18:03:00;;Partner;Transfer;Intact Male
6 months;A682646;Other;Bat Mix;Brown;2013-12-30T00:00:00;2014-07-01T09:42:00;2014-07-01T09:42:00;;;Disposal;Unknown
2 months;A672808;Dog;Border Collie Mix;Black/White;2013-12-17T00:00:00;2014-02-21T17:26:00;2014-02-21T17:26:00;Barack;;Adoption;Neutered Male
1 week;A687041;Cat;Domestic Shorthair Mix;Torbie;2014-08-23T00:00:00;2014-08-30T14:38:00;2014-08-30T14:38:00;;Partner;Transfer;Intact Male
3 years;A693991;Dog;Labrador Retriever/German Shepherd;Tan;2011-12-18T00:00:00;2014-12-22T16:48:00;2014-12-22T16:48:00;Oso;;Return to Owner;Intact Male
1 month;A689349;Cat;Siamese Mix;Tortie Point;2014-08-26T00:00:00;2014-10-14T14:56:00;2014-10-14T14:56:00;*Michonne;Partner;Transfer;Intact Female
6 years;A683111;Dog;German Shepherd Mix;Brown/Black;2008-07-29T00:00:00;2014-10-20T13:01:00;2014-10-20T13:01:00;Bonnie;;Return to Owner;Spayed Female
2 years;A683534;Dog;Labrador Retriever/Catahoula;Black Brindle;2012-07-11T00:00:00;2014-07-19T17:50:00;2014-07-19T17:50:00;Kevin;;Adoption;Neutered Male
3 years;A673115;Dog;Yorkshire Terrier;Black/Red;2011-02-19T00:00:00;2014-06-05T16:34:00;2014-06-05T16:34:00;Minnie;Partner;Transfer;Spayed Female
10 months;A667884;Dog;Miniature Schnauzer;Black/White;2013-01-24T00:00:00;2013-11-28T12:01:00;2013-11-28T12:01:00;;Partner;Transfer;Neutered Male
1 year;A668549;Cat;Siamese Mix;Flame Point;2012-12-04T00:00:00;2013-12-09T07:19:00;2013-12-09T07:19:00;*Dasher;Partner;Transfer;Neutered Male
8 years;A665481;Dog;Chihuahua Shorthair Mix;Tan;2005-10-18T00:00:00;2013-10-29T16:06:00;2013-10-29T16:06:00;;Partner;Transfer;Neutered Male
9 months;A690854;Dog;Australian Shepherd/English Springer Spaniel;Brown Brindle/White;2014-01-27T00:00:00;2014-11-07T17:10:00;2014-11-07T17:10:00;Khaleesi;;Return to Owner;Spayed Female
1 year;A635698;Cat;Domestic Medium Hair Mix;Black;2012-06-26T00:00:00;2013-10-14T16:03:00;2013-10-14T16:03:00;*Taco;;Adoption;Neutered Male
3 months;A687495;Cat;Domestic Shorthair Mix;Black;2014-05-21T00:00:00;2014-09-06T09:00:00;2014-09-06T09:00:00;;SCRP;Transfer;Intact Male
3 months;A664070;Cat;Domestic Shorthair Mix;White/Blue;2013-07-06T00:00:00;2013-10-09T13:15:00;2013-10-09T13:15:00;;Partner;Transfer;Neutered Male
2 years;A688869;Dog;German Shepherd Mix;Black/Tan;2012-03-26T00:00:00;2014-09-26T12:09:00;2014-09-26T12:09:00;Max;;Return to Owner;Intact Male
3 years;A680574;Dog;Labrador Retriever/Border Collie;Black/White;2011-06-04T00:00:00;2014-10-14T16:38:00;2014-10-14T16:38:00;*Bowie;;Adoption;Neutered Male
8 months;A668908;Cat;Domestic Shorthair Mix;White/Blue Tabby;2013-04-11T00:00:00;2013-12-12T13:14:00;2013-12-12T13:14:00;Hero;;Return to Owner;Neutered Male
2 years;A669944;Dog;Beagle Mix;Tan/White;2011-12-30T00:00:00;2014-01-05T14:41:00;2014-01-05T14:41:00;Logan;Partner;Transfer;Neutered Male
2 weeks;A678735;Dog;Chihuahua Shorthair/Jack Russell Terrier;White;2014-05-05T00:00:00;2014-05-24T08:13:00;2014-05-24T08:13:00;Buddy;Partner;Transfer;Intact Male
2 months;A672237;Dog;Boxer/Catahoula;Red/White;2013-12-15T00:00:00;2014-02-24T14:28:00;2014-02-24T14:28:00;*Tina;;Adoption;Spayed Female
2 years;A668499;Dog;Rat Terrier/Chihuahua Shorthair;White/Tan;2011-12-04T00:00:00;2013-12-09T15:53:00;2013-12-09T15:53:00;;Partner;Transfer;Intact Female
2 years;A683997;Dog;Pit Bull Mix;Black/White;2012-07-18T00:00:00;2014-08-18T12:28:00;2014-08-18T12:28:00;Knight;Behavior;Euthanasia;Neutered Male
2 years;A693392;Dog;Bull Terrier;White;2012-12-07T00:00:00;2014-12-11T14:40:00;2014-12-11T14:40:00;;Partner;Transfer;Spayed Female
2 years;A668683;Cat;Domestic Shorthair Mix;Black/White;2011-12-07T00:00:00;2013-12-13T11:43:00;2013-12-13T11:43:00;*Joe;;Adoption;Neutered Male
3 years;A689399;Dog;German Shepherd Mix;Black;2011-10-03T00:00:00;2014-10-05T17:51:00;2014-10-05T17:51:00;Jax;;Return to Owner;Neutered Male
8 years;A676213;Cat;Domestic Shorthair Mix;Calico;2006-04-06T00:00:00;2014-04-11T16:00:00;2014-04-11T16:00:00;Buddy Buddy;Partner;Transfer;Spayed Female
1 year;A664266;Dog;Chihuahua Shorthair Mix;Buff;2012-04-01T00:00:00;2013-10-05T15:06:00;2013-10-05T15:06:00;;Partner;Transfer;Intact Female
5 years;A674396;Cat;Siamese Mix;Tortie Point;2009-03-12T00:00:00;2014-03-16T16:07:00;2014-03-16T16:07:00;*Bonnie;Partner;Transfer;Spayed Female
2 months;A686214;Cat;Domestic Shorthair Mix;White/Black;2014-07-12T00:00:00;2014-10-03T15:56:00;2014-10-03T15:56:00;*Sam;Partner;Transfer;Neutered Male
1 year;A683238;Cat;Domestic Shorthair Mix;Cream Tabby;2013-07-08T00:00:00;2014-08-06T14:37:00;2014-08-06T14:37:00;*Adam;Partner;Transfer;Neutered Male
2 years;A669641;Dog;Australian Kelpie Mix;Tan;2011-12-24T00:00:00;2014-01-03T14:36:00;2014-01-03T14:36:00;Hannibal;;Return to Owner;Intact Male
4 months;A680461;Cat;Domestic Shorthair Mix;White/Black;2014-05-03T00:00:00;2014-09-11T07:53:00;2014-09-11T07:53:00;*Georgia;Foster;Adoption;Spayed Female
2 months;A677282;Cat;Domestic Shorthair Mix;Black;2014-03-20T00:00:00;2014-05-24T14:46:00;2014-05-24T14:46:00;*Castor;;Adoption;Neutered Male
1 year;A690375;Dog;Pit Bull Mix;Brown Brindle;2013-10-19T00:00:00;2014-11-21T17:10:00;2014-11-21T17:10:00;Bruce Willis;;Adoption;Neutered Male
8 months;A665145;Cat;Domestic Shorthair Mix;Cream Tabby;2013-04-16T00:00:00;2013-12-16T17:32:00;2013-12-16T17:32:00;*Stefan;;Adoption;Neutered Male
1 year;A668172;Dog;Dachshund Mix;Tan/White;2012-12-04T00:00:00;2013-12-05T18:55:00;2013-12-05T18:55:00;;;Adoption;Neutered Male
1 year;A686795;Cat;Domestic Shorthair Mix;Blue;2013-02-27T00:00:00;2014-08-27T18:20:00;2014-08-27T18:20:00;;Partner;Transfer;Intact Female
5 weeks;A688059;Cat;Domestic Shorthair Mix;Brown Tabby;2014-08-13T00:00:00;2014-09-17T08:54:00;2014-09-17T08:54:00;*Tina;Suffering;Euthanasia;Intact Female
2 months;A688519;Cat;Domestic Shorthair Mix;Cream Tabby;2014-07-29T00:00:00;2014-10-05T14:42:00;2014-10-05T14:42:00;Sage;;Adoption;Intact Female
8 months;A668942;Dog;Australian Cattle Dog Mix;Red/Red Tick;2013-04-12T00:00:00;2013-12-12T19:47:00;2013-12-12T19:47:00;Leader;;Return to Owner;Intact Male
1 year;A673851;Dog;Queensland Heeler/Pit Bull;White/Tan;2013-04-03T00:00:00;2014-06-26T09:02:00;2014-06-26T09:02:00;*Lily;Aggressive;Euthanasia;Spayed Female
2 years;A688958;Dog;Australian Cattle Dog Mix;Black/White;2012-09-27T00:00:00;2014-09-29T12:37:00;2014-09-29T12:37:00;Cleo;;Adoption;Spayed Female
2 years;A682075;Cat;Domestic Shorthair Mix;Brown Tabby;2012-06-24T00:00:00;2014-06-25T09:00:00;2014-06-25T09:00:00;;SCRP;Transfer;Intact Female
1 year;A679737;Cat;Domestic Medium Hair Mix;Black/White;2013-05-25T00:00:00;2014-05-26T18:12:00;2014-05-26T18:12:00;;SCRP;Transfer;Unknown
3 weeks;A679717;Cat;Domestic Shorthair Mix;Torbie;2014-05-03T00:00:00;2014-05-25T13:48:00;2014-05-25T13:48:00;;Partner;Transfer;Intact Female
10 years;A672589;Cat;Domestic Medium Hair Mix;Orange Tabby;2004-02-13T00:00:00;2014-02-13T14:31:00;2014-02-13T14:31:00;;Suffering;Euthanasia;Neutered Male
3 months;A672516;Cat;Domestic Shorthair Mix;Brown Tabby;2013-11-11T00:00:00;2014-02-12T15:39:00;2014-02-12T15:39:00;;SCRP;Transfer;Intact Male
2 months;A680307;Dog;Australian Kelpie Mix;Black/White;2014-06-01T00:00:00;2014-08-10T17:29:00;2014-08-10T17:29:00;*George;Offsite;Adoption;Neutered Male
2 months;A664461;Dog;Dachshund Wirehair Mix;Tan;2013-07-12T00:00:00;2013-10-09T17:31:00;2013-10-09T17:31:00;;;Adoption;Neutered Male
2 years;A616640;Dog;Pit Bull Mix;Chocolate/White;2010-12-27T00:00:00;2013-12-02T15:49:00;2013-12-02T15:49:00;*Joy;;Return to Owner;Spayed Female
2 years;A693908;Dog;Shih Tzu Mix;White/Brown;2012-12-16T00:00:00;2014-12-19T11:46:00;2014-12-19T11:46:00;;Partner;Transfer;Neutered Male
1 year;A666154;Cat;Domestic Shorthair Mix;Calico;2012-10-28T00:00:00;2013-12-27T13:15:00;2013-12-27T13:15:00;Gizmo;;Adoption;Spayed Female
1 year;A691302;Dog;Great Dane/Anatol Shepherd;Black/White;2013-11-02T00:00:00;2014-11-06T18:12:00;2014-11-06T18:12:00;*Vallee;;Adoption;Spayed Female
1 year;A664959;Dog;Labrador Retriever Mix;Black;2012-10-11T00:00:00;2013-10-14T17:06:00;2013-10-14T17:06:00;;Partner;Transfer;Intact Female
4 years;A678646;Dog;Chihuahua Longhair Mix;Red/White;2010-05-11T00:00:00;2014-05-12T11:53:00;2014-05-12T11:53:00;Q Ball;;Return to Owner;Intact Male
8 months;A669548;Dog;Manchester Terrier/Chihuahua Shorthair;Tan;2013-04-22T00:00:00;2013-12-28T18:12:00;2013-12-28T18:12:00;Paloma;Partner;Transfer;Intact Female
2 years;A675350;Dog;Golden Retriever/Great Pyrenees;Cream;2012-03-26T00:00:00;2014-03-28T15:46:00;2014-03-28T15:46:00;Carlie;;Adoption;Spayed Female
3 years;A675927;Dog;Shiba Inu Mix;Tan;2011-04-02T00:00:00;2014-04-04T14:52:00;2014-04-04T14:52:00;Tee-Nee;;Return to Owner;Spayed Female
2 months;A681365;Dog;Labrador Retriever Mix;Brown Brindle;2014-04-15T00:00:00;2014-06-19T18:30:00;2014-06-19T18:30:00;;;Adoption;Neutered Male
1 year;A670830;Cat;Domestic Shorthair Mix;Torbie;2013-01-14T00:00:00;2014-01-20T12:21:00;2014-01-20T12:21:00;*Baby;;Adoption;Spayed Female
2 months;A664157;Dog;Chihuahua Shorthair Mix;Tricolor;2013-08-09T00:00:00;2013-10-11T17:30:00;2013-10-11T17:30:00;Ponyo;Foster;Adoption;Spayed Female
8 months;A674282;Cat;Domestic Shorthair Mix;Brown Tabby;2013-07-11T00:00:00;2014-04-08T12:24:00;2014-04-08T12:24:00;*Bobby;;Adoption;Neutered Male
3 weeks;A683186;Cat;Domestic Shorthair Mix;White/Blue;2014-06-23T00:00:00;2014-07-17T18:09:00;2014-07-17T18:09:00;;Partner;Transfer;Intact Male
2 months;A691275;Cat;Domestic Shorthair Mix;Brown Tabby;2014-09-25T00:00:00;2014-12-08T17:32:00;2014-12-08T17:32:00;*Cinnamon;;Adoption;Spayed Female
5 years;A674726;Cat;Domestic Shorthair Mix;Blue/White;2009-03-17T00:00:00;2014-03-25T17:33:00;2014-03-25T17:33:00;Mittens;;Return to Owner;Neutered Male
2 months;A685949;Cat;Domestic Medium Hair Mix;Black/White;2014-05-23T00:00:00;2014-08-20T16:54:00;2014-08-20T16:54:00;*Lexi;;Adoption;Spayed Female
8 months;A670892;Cat;Domestic Medium Hair Mix;Black/White;2013-05-15T00:00:00;2014-01-25T12:42:00;2014-01-25T12:42:00;*Faith;;Adoption;Spayed Female
2 years;A671102;Dog;Cardigan Welsh Corgi Mix;Tricolor;2012-01-18T00:00:00;2014-01-22T17:11:00;2014-01-22T17:11:00;;Partner;Transfer;Neutered Male
2 years;A655092;Dog;Flat Coat Retriever Mix;Black;2011-11-28T00:00:00;2014-01-01T12:50:00;2014-01-01T12:50:00;*Smiley;;Adoption;Spayed Female
8 years;A681678;Dog;Siberian Husky Mix;Sable;2006-06-19T00:00:00;2014-06-30T19:30:00;2014-06-30T19:30:00;Saja;;Adoption;Spayed Female
2 years;A678719;Dog;Chihuahua Shorthair Mix;Chocolate/White;2012-05-12T00:00:00;2014-05-20T18:39:00;2014-05-20T18:39:00;Minnie;;Adoption;Spayed Female
2 years;A667109;Dog;American Bulldog/Labrador Retriever;Black/White;2011-11-12T00:00:00;2013-12-11T12:50:00;2013-12-11T12:50:00;Hank;;Adoption;Neutered Male
6 months;A678198;Cat;Domestic Longhair Mix;Tortie;2013-11-05T00:00:00;2014-05-17T11:29:00;2014-05-17T11:29:00;Sassy;Partner;Transfer;Spayed Female
7 months;A694129;Dog;Chihuahua Shorthair Mix;Brown;2014-05-14T00:00:00;2014-12-20T17:53:00;2014-12-20T17:53:00;Bear;;Return to Owner;Neutered Male
5 months;A686804;Dog;Dachshund Mix;Red/White;2014-05-05T00:00:00;2014-10-25T12:12:00;2014-10-25T12:12:00;Buster;Partner;Transfer;Neutered Male
1 month;A679665;Dog;German Shepherd Mix;Black/Brown;2014-04-20T00:00:00;2014-06-17T13:21:00;2014-06-17T13:21:00;;Partner;Transfer;Spayed Female
3 weeks;A689268;Cat;Domestic Shorthair Mix;Black/White;2014-09-09T00:00:00;2014-10-01T15:19:00;2014-10-01T15:19:00;;Partner;Transfer;Intact Male
2 months;A679696;Cat;Domestic Shorthair Mix;Torbie;2014-04-24T00:00:00;2014-07-14T18:08:00;2014-07-14T18:08:00;*Jenna;;Adoption;Spayed Female
1 year;A682837;Cat;Domestic Shorthair Mix;Blue Tabby;2013-07-03T00:00:00;2014-07-06T09:00:00;2014-07-06T09:00:00;Trouble;SCRP;Transfer;Intact Male
3 days;A681531;Cat;Domestic Longhair Mix;Black;2014-06-15T00:00:00;2014-06-18T12:50:00;2014-06-18T12:50:00;;Partner;Transfer;Intact Male
9 months;A676170;Cat;Domestic Shorthair Mix;Orange Tabby;2013-07-05T00:00:00;2014-04-09T18:49:00;2014-04-09T18:49:00;Chuy;;Adoption;Neutered Male
1 year;A688321;Cat;Domestic Shorthair Mix;Orange Tabby/White;2013-09-18T00:00:00;2014-09-21T18:14:00;2014-09-21T18:14:00;*Jenny;Suffering;Euthanasia;Spayed Female
2 years;A678650;Cat;Siamese Mix;Seal Point;2012-05-13T00:00:00;2014-05-15T16:19:00;2014-05-15T16:19:00;Evans;;Return to Owner;Neutered Male
1 year;A668863;Dog;Pit Bull Mix;White/Black;2012-12-10T00:00:00;2014-02-22T12:09:00;2014-02-22T12:09:00;Emma;Foster;Adoption;Spayed Female
3 months;A686466;Cat;Domestic Shorthair Mix;Brown Tabby;2014-04-30T00:00:00;2014-08-23T09:00:00;2014-08-23T09:00:00;;SCRP;Transfer;Intact Male
2 years;A663740;Dog;Anatol Shepherd Mix;Brown/White;2011-09-23T00:00:00;2013-10-13T15:28:00;2013-10-13T15:28:00;*Sally;;Adoption;Spayed Female
3 months;A679923;Cat;Domestic Shorthair Mix;Brown Tabby;2014-04-11T00:00:00;2014-07-14T18:09:00;2014-07-14T18:09:00;Tifa;;Adoption;Neutered Male
